[::1] DEB:03/20/2014 - 08:34:37 | Starting Application
[::1] DEB:03/20/2014 - 11:38:02 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data1
[::1] DEB:03/20/2014 - 11:38:02 | Mod Time: 1395329872 (2014-03-20 11:37:52)
[::1] DEB:03/20/2014 - 11:38:02 | Current Time: 1395329882 (2014-03-20 11:38:02)
[::1] DEB:03/20/2014 - 11:38:02 | Expiration Time: 1395329867 (2014-03-20 11:37:47)
[::1] DEB:03/20/2014 - 11:38:02 | Retreive Data 1: 
[::1] DEB:03/20/2014 - 11:38:02 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 11:38:02 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data2
[::1] DEB:03/20/2014 - 11:38:02 | Mod Time: 1395329872 (2014-03-20 11:37:52)
[::1] DEB:03/20/2014 - 11:38:02 | Current Time: 1395329882 (2014-03-20 11:38:02)
[::1] DEB:03/20/2014 - 11:38:02 | Expiration Time: 1395329867 (2014-03-20 11:37:47)
[::1] DEB:03/20/2014 - 11:38:02 | Retreive Data 2: 
[::1] DEB:03/20/2014 - 11:38:02 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 11:38:12 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 11:38:12 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data3
[::1] DEB:03/20/2014 - 11:38:12 | Mod Time: 1395329872 (2014-03-20 11:37:52)
[::1] DEB:03/20/2014 - 11:38:12 | Current Time: 1395329892 (2014-03-20 11:38:12)
[::1] DEB:03/20/2014 - 11:38:12 | Expiration Time: 1395329877 (2014-03-20 11:37:57)
[::1] DEB:03/20/2014 - 11:38:12 | The item has expired
[::1] DEB:03/20/2014 - 11:38:12 | deleting cache file: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data3
[::1] DEB:03/20/2014 - 11:38:12 | Retreive Data 3: 
[::1] DEB:03/20/2014 - 11:38:12 | Now we want to test to make sure we can kepp a cache entry updated.
[::1] DEB:03/20/2014 - 11:38:12 | Set the expiration to (seconds): 10
[::1] DEB:03/20/2014 - 11:38:12 | Write the cache entry every 5 seconds to keep it updated.  then after 30 seconds see if its still available.
[::1] DEB:03/20/2014 - 11:38:12 | Data3 written to cache: 532b0b5048458
[::1] DEB:03/20/2014 - 11:38:12 | Return: true
[::1] DEB:03/20/2014 - 11:38:12 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:38:17 | Data3 written to cache: 532b0b5048458
[::1] DEB:03/20/2014 - 11:38:17 | Return: true
[::1] DEB:03/20/2014 - 11:38:17 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:38:22 | Data3 written to cache: 532b0b5048458
[::1] DEB:03/20/2014 - 11:38:22 | Return: true
[::1] DEB:03/20/2014 - 11:38:22 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:38:27 | Data3 written to cache: 532b0b5048458
[::1] DEB:03/20/2014 - 11:38:27 | Return: true
[::1] DEB:03/20/2014 - 11:38:27 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:38:32 | Data3 written to cache: 532b0b5048458
[::1] DEB:03/20/2014 - 11:38:32 | Return: true
[::1] DEB:03/20/2014 - 11:38:32 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:38:37 | Data3 written to cache: 532b0b5048458
[::1] DEB:03/20/2014 - 11:38:37 | Return: true
[::1] DEB:03/20/2014 - 11:38:37 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:38:42 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 11:38:42 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data3
[::1] DEB:03/20/2014 - 11:38:42 | Mod Time: 1395329917 (2014-03-20 11:38:37)
[::1] DEB:03/20/2014 - 11:38:42 | Current Time: 1395329922 (2014-03-20 11:38:42)
[::1] DEB:03/20/2014 - 11:38:42 | Expiration Time: 1395329912 (2014-03-20 11:38:32)
[::1] DEB:03/20/2014 - 11:38:42 | Retreive Data 3: 
[::1] DEB:03/20/2014 - 11:38:42 | Flushing Cache
[::1] DEB:03/20/2014 - 11:40:48 | ******************** Starting test-cache.php ********************
[::1] DEB:03/20/2014 - 11:40:48 | Set the cache directory: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache
[::1] DEB:03/20/2014 - 11:40:48 | Set the expiration to (seconds): 15
[::1] DEB:03/20/2014 - 11:40:48 | Create 3 cache entries
[::1] DEB:03/20/2014 - 11:40:48 | Data1 written to cache: 532b0c004691c
[::1] DEB:03/20/2014 - 11:40:48 | Return: true
[::1] DEB:03/20/2014 - 11:40:48 | Data2 written to cache: 532b0c0046941
[::1] DEB:03/20/2014 - 11:40:48 | Return: true
[::1] DEB:03/20/2014 - 11:40:48 | Data3 written to cache: 532b0c004694c
[::1] DEB:03/20/2014 - 11:40:48 | Return: true
[::1] DEB:03/20/2014 - 11:40:48 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 11:40:58 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 11:40:58 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data1
[::1] DEB:03/20/2014 - 11:40:58 | Mod Time: 1395330048 (2014-03-20 11:40:48)
[::1] DEB:03/20/2014 - 11:40:58 | Current Time: 1395330058 (2014-03-20 11:40:58)
[::1] DEB:03/20/2014 - 11:40:58 | Expiration Time: 1395330043 (2014-03-20 11:40:43)
[::1] DEB:03/20/2014 - 11:40:58 | Retreive Data 1: false
[::1] DEB:03/20/2014 - 11:40:58 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 11:40:58 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data2
[::1] DEB:03/20/2014 - 11:40:58 | Mod Time: 1395330048 (2014-03-20 11:40:48)
[::1] DEB:03/20/2014 - 11:40:58 | Current Time: 1395330058 (2014-03-20 11:40:58)
[::1] DEB:03/20/2014 - 11:40:58 | Expiration Time: 1395330043 (2014-03-20 11:40:43)
[::1] DEB:03/20/2014 - 11:40:58 | Retreive Data 2: false
[::1] DEB:03/20/2014 - 11:40:58 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 11:41:08 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 11:41:08 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data3
[::1] DEB:03/20/2014 - 11:41:08 | Mod Time: 1395330048 (2014-03-20 11:40:48)
[::1] DEB:03/20/2014 - 11:41:08 | Current Time: 1395330068 (2014-03-20 11:41:08)
[::1] DEB:03/20/2014 - 11:41:08 | Expiration Time: 1395330053 (2014-03-20 11:40:53)
[::1] DEB:03/20/2014 - 11:41:08 | The item has expired
[::1] DEB:03/20/2014 - 11:41:08 | deleting cache file: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data3
[::1] DEB:03/20/2014 - 11:41:08 | Retreive Data 3: false
[::1] DEB:03/20/2014 - 11:41:08 | Now we want to test to make sure we can kepp a cache entry updated.
[::1] DEB:03/20/2014 - 11:41:08 | Set the expiration to (seconds): 10
[::1] DEB:03/20/2014 - 11:41:08 | Write the cache entry every 5 seconds to keep it updated.  then after 30 seconds see if its still available.
[::1] DEB:03/20/2014 - 11:41:08 | Data3 written to cache: 532b0c004694c
[::1] DEB:03/20/2014 - 11:41:08 | Return: true
[::1] DEB:03/20/2014 - 11:41:08 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:41:13 | Data3 written to cache: 532b0c004694c
[::1] DEB:03/20/2014 - 11:41:13 | Return: true
[::1] DEB:03/20/2014 - 11:41:13 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:41:18 | Data3 written to cache: 532b0c004694c
[::1] DEB:03/20/2014 - 11:41:18 | Return: true
[::1] DEB:03/20/2014 - 11:41:18 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:41:23 | Data3 written to cache: 532b0c004694c
[::1] DEB:03/20/2014 - 11:41:23 | Return: true
[::1] DEB:03/20/2014 - 11:41:23 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:41:28 | Data3 written to cache: 532b0c004694c
[::1] DEB:03/20/2014 - 11:41:28 | Return: true
[::1] DEB:03/20/2014 - 11:41:28 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:41:33 | Data3 written to cache: 532b0c004694c
[::1] DEB:03/20/2014 - 11:41:33 | Return: true
[::1] DEB:03/20/2014 - 11:41:33 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:41:38 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 11:41:38 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data3
[::1] DEB:03/20/2014 - 11:41:38 | Mod Time: 1395330093 (2014-03-20 11:41:33)
[::1] DEB:03/20/2014 - 11:41:38 | Current Time: 1395330098 (2014-03-20 11:41:38)
[::1] DEB:03/20/2014 - 11:41:38 | Expiration Time: 1395330088 (2014-03-20 11:41:28)
[::1] DEB:03/20/2014 - 11:41:38 | Retreive Data 3: 
[::1] DEB:03/20/2014 - 11:41:38 | Flushing Cache
[::1] DEB:03/20/2014 - 11:46:11 | ******************** Starting test-cache.php ********************
[::1] DEB:03/20/2014 - 11:46:11 | Set the cache directory: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache
[::1] DEB:03/20/2014 - 11:46:11 | Set the expiration to (seconds): 15
[::1] DEB:03/20/2014 - 11:46:11 | Create 3 cache entries
[::1] DEB:03/20/2014 - 11:46:11 | Data1 written to cache: 532b0d430fc47
[::1] DEB:03/20/2014 - 11:46:11 | Return: true
[::1] DEB:03/20/2014 - 11:46:11 | Data2 written to cache: 532b0d430fc5a
[::1] DEB:03/20/2014 - 11:46:11 | Return: true
[::1] DEB:03/20/2014 - 11:46:11 | Data3 written to cache: 532b0d430fc72
[::1] DEB:03/20/2014 - 11:46:11 | Return: true
[::1] DEB:03/20/2014 - 11:46:11 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 11:46:21 | FileCache::readDataFromCache(Data1)
[::1] DEB:03/20/2014 - 11:46:21 | bExists: true
[::1] DEB:03/20/2014 - 11:46:21 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 11:46:21 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data1
[::1] DEB:03/20/2014 - 11:46:21 | Mod Time: 1395330371 (2014-03-20 11:46:11)
[::1] DEB:03/20/2014 - 11:46:21 | Current Time: 1395330381 (2014-03-20 11:46:21)
[::1] DEB:03/20/2014 - 11:46:21 | Expiration Time: 1395330366 (2014-03-20 11:46:06)
[::1] DEB:03/20/2014 - 11:46:21 | bIsValid: true
[::1] DEB:03/20/2014 - 11:46:21 | Retreive Data 1: false
[::1] DEB:03/20/2014 - 11:46:21 | FileCache::readDataFromCache(Data2)
[::1] DEB:03/20/2014 - 11:46:21 | bExists: true
[::1] DEB:03/20/2014 - 11:46:21 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 11:46:21 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data2
[::1] DEB:03/20/2014 - 11:46:21 | Mod Time: 1395330371 (2014-03-20 11:46:11)
[::1] DEB:03/20/2014 - 11:46:21 | Current Time: 1395330381 (2014-03-20 11:46:21)
[::1] DEB:03/20/2014 - 11:46:21 | Expiration Time: 1395330366 (2014-03-20 11:46:06)
[::1] DEB:03/20/2014 - 11:46:21 | bIsValid: true
[::1] DEB:03/20/2014 - 11:46:21 | Retreive Data 2: false
[::1] DEB:03/20/2014 - 11:46:21 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 11:46:31 | FileCache::readDataFromCache(Data3)
[::1] DEB:03/20/2014 - 11:46:31 | bExists: true
[::1] DEB:03/20/2014 - 11:46:31 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 11:46:31 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data3
[::1] DEB:03/20/2014 - 11:46:31 | Mod Time: 1395330371 (2014-03-20 11:46:11)
[::1] DEB:03/20/2014 - 11:46:31 | Current Time: 1395330391 (2014-03-20 11:46:31)
[::1] DEB:03/20/2014 - 11:46:31 | Expiration Time: 1395330376 (2014-03-20 11:46:16)
[::1] DEB:03/20/2014 - 11:46:31 | The item has expired
[::1] DEB:03/20/2014 - 11:46:31 | deleting cache file: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data3
[::1] DEB:03/20/2014 - 11:46:31 | bIsValid: false
[::1] DEB:03/20/2014 - 11:46:31 | Retreive Data 3: false
[::1] DEB:03/20/2014 - 11:46:31 | Now we want to test to make sure we can kepp a cache entry updated.
[::1] DEB:03/20/2014 - 11:46:31 | Set the expiration to (seconds): 10
[::1] DEB:03/20/2014 - 11:46:31 | Write the cache entry every 5 seconds to keep it updated.  then after 30 seconds see if its still available.
[::1] DEB:03/20/2014 - 11:46:31 | Data3 written to cache: 532b0d430fc72
[::1] DEB:03/20/2014 - 11:46:31 | Return: true
[::1] DEB:03/20/2014 - 11:46:31 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:46:36 | Data3 written to cache: 532b0d430fc72
[::1] DEB:03/20/2014 - 11:46:36 | Return: true
[::1] DEB:03/20/2014 - 11:46:36 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:46:41 | Data3 written to cache: 532b0d430fc72
[::1] DEB:03/20/2014 - 11:46:41 | Return: true
[::1] DEB:03/20/2014 - 11:46:41 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:46:46 | Data3 written to cache: 532b0d430fc72
[::1] DEB:03/20/2014 - 11:46:46 | Return: true
[::1] DEB:03/20/2014 - 11:46:46 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:46:51 | Data3 written to cache: 532b0d430fc72
[::1] DEB:03/20/2014 - 11:46:51 | Return: true
[::1] DEB:03/20/2014 - 11:46:51 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:46:56 | Data3 written to cache: 532b0d430fc72
[::1] DEB:03/20/2014 - 11:46:56 | Return: true
[::1] DEB:03/20/2014 - 11:46:56 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:47:01 | FileCache::readDataFromCache(Data3)
[::1] DEB:03/20/2014 - 11:47:01 | bExists: true
[::1] DEB:03/20/2014 - 11:47:01 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 11:47:01 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data3
[::1] DEB:03/20/2014 - 11:47:01 | Mod Time: 1395330416 (2014-03-20 11:46:56)
[::1] DEB:03/20/2014 - 11:47:01 | Current Time: 1395330421 (2014-03-20 11:47:01)
[::1] DEB:03/20/2014 - 11:47:01 | Expiration Time: 1395330411 (2014-03-20 11:46:51)
[::1] DEB:03/20/2014 - 11:47:01 | bIsValid: true
[::1] DEB:03/20/2014 - 11:47:01 | Retreive Data 3: 
[::1] DEB:03/20/2014 - 11:47:01 | Flushing Cache
[::1] DEB:03/20/2014 - 11:48:55 | ******************** Starting test-cache.php ********************
[::1] DEB:03/20/2014 - 11:48:55 | Set the cache directory: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache
[::1] DEB:03/20/2014 - 11:48:55 | Set the expiration to (seconds): 15
[::1] DEB:03/20/2014 - 11:48:55 | Create 3 cache entries
[::1] DEB:03/20/2014 - 11:48:55 | Data1 written to cache: 532b0de70c475
[::1] DEB:03/20/2014 - 11:48:55 | Return: true
[::1] DEB:03/20/2014 - 11:48:55 | Data2 written to cache: 532b0de70c480
[::1] DEB:03/20/2014 - 11:48:55 | Return: true
[::1] DEB:03/20/2014 - 11:48:55 | Data3 written to cache: 532b0de70c494
[::1] DEB:03/20/2014 - 11:48:55 | Return: true
[::1] DEB:03/20/2014 - 11:48:55 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 11:49:05 | FileCache::readDataFromCache(Data1)
[::1] DEB:03/20/2014 - 11:49:05 | bExists: true
[::1] DEB:03/20/2014 - 11:49:05 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 11:49:05 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data1
[::1] DEB:03/20/2014 - 11:49:05 | Mod Time: 1395330535 (2014-03-20 11:48:55)
[::1] DEB:03/20/2014 - 11:49:05 | Current Time: 1395330545 (2014-03-20 11:49:05)
[::1] DEB:03/20/2014 - 11:49:05 | Expiration Time: 1395330530 (2014-03-20 11:48:50)
[::1] DEB:03/20/2014 - 11:49:05 | bIsValid: true
[::1] DEB:03/20/2014 - 11:49:05 | Retreive Data 1: '532b0de70c475'
[::1] DEB:03/20/2014 - 11:49:05 | FileCache::readDataFromCache(Data2)
[::1] DEB:03/20/2014 - 11:49:05 | bExists: true
[::1] DEB:03/20/2014 - 11:49:05 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 11:49:05 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data2
[::1] DEB:03/20/2014 - 11:49:05 | Mod Time: 1395330535 (2014-03-20 11:48:55)
[::1] DEB:03/20/2014 - 11:49:05 | Current Time: 1395330545 (2014-03-20 11:49:05)
[::1] DEB:03/20/2014 - 11:49:05 | Expiration Time: 1395330530 (2014-03-20 11:48:50)
[::1] DEB:03/20/2014 - 11:49:05 | bIsValid: true
[::1] DEB:03/20/2014 - 11:49:05 | Retreive Data 2: '532b0de70c480'
[::1] DEB:03/20/2014 - 11:49:05 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 11:49:15 | FileCache::readDataFromCache(Data3)
[::1] DEB:03/20/2014 - 11:49:15 | bExists: true
[::1] DEB:03/20/2014 - 11:49:15 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 11:49:15 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data3
[::1] DEB:03/20/2014 - 11:49:15 | Mod Time: 1395330535 (2014-03-20 11:48:55)
[::1] DEB:03/20/2014 - 11:49:15 | Current Time: 1395330555 (2014-03-20 11:49:15)
[::1] DEB:03/20/2014 - 11:49:15 | Expiration Time: 1395330540 (2014-03-20 11:49:00)
[::1] DEB:03/20/2014 - 11:49:15 | The item has expired
[::1] DEB:03/20/2014 - 11:49:15 | deleting cache file: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data3
[::1] DEB:03/20/2014 - 11:49:15 | bIsValid: false
[::1] DEB:03/20/2014 - 11:49:15 | Retreive Data 3: false
[::1] DEB:03/20/2014 - 11:49:15 | Now we want to test to make sure we can kepp a cache entry updated.
[::1] DEB:03/20/2014 - 11:49:15 | Set the expiration to (seconds): 10
[::1] DEB:03/20/2014 - 11:49:15 | Write the cache entry every 5 seconds to keep it updated.  then after 30 seconds see if its still available.
[::1] DEB:03/20/2014 - 11:49:15 | Data3 written to cache: 532b0de70c494
[::1] DEB:03/20/2014 - 11:49:15 | Return: true
[::1] DEB:03/20/2014 - 11:49:15 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:49:20 | Data3 written to cache: 532b0de70c494
[::1] DEB:03/20/2014 - 11:49:20 | Return: true
[::1] DEB:03/20/2014 - 11:49:20 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:49:25 | Data3 written to cache: 532b0de70c494
[::1] DEB:03/20/2014 - 11:49:25 | Return: true
[::1] DEB:03/20/2014 - 11:49:25 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:49:30 | Data3 written to cache: 532b0de70c494
[::1] DEB:03/20/2014 - 11:49:30 | Return: true
[::1] DEB:03/20/2014 - 11:49:30 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:49:35 | Data3 written to cache: 532b0de70c494
[::1] DEB:03/20/2014 - 11:49:35 | Return: true
[::1] DEB:03/20/2014 - 11:49:35 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:49:40 | Data3 written to cache: 532b0de70c494
[::1] DEB:03/20/2014 - 11:49:40 | Return: true
[::1] DEB:03/20/2014 - 11:49:40 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:49:45 | FileCache::readDataFromCache(Data3)
[::1] DEB:03/20/2014 - 11:49:45 | bExists: true
[::1] DEB:03/20/2014 - 11:49:45 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 11:49:45 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data3
[::1] DEB:03/20/2014 - 11:49:45 | Mod Time: 1395330580 (2014-03-20 11:49:40)
[::1] DEB:03/20/2014 - 11:49:45 | Current Time: 1395330585 (2014-03-20 11:49:45)
[::1] DEB:03/20/2014 - 11:49:45 | Expiration Time: 1395330575 (2014-03-20 11:49:35)
[::1] DEB:03/20/2014 - 11:49:45 | bIsValid: true
[::1] DEB:03/20/2014 - 11:49:45 | Retreive Data 3: 532b0de70c494
[::1] DEB:03/20/2014 - 11:49:45 | Flushing Cache
[::1] DEB:03/20/2014 - 11:57:06 | ******************** Starting test-cache.php ********************
[::1] DEB:03/20/2014 - 11:57:06 | Set the cache directory: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache
[::1] DEB:03/20/2014 - 11:57:06 | Set the expiration to (seconds): 15
[::1] DEB:03/20/2014 - 11:57:06 | Create 3 cache entries
[::1] DEB:03/20/2014 - 11:57:06 | Data1 written to cache: 532b0fd2bbbc0
[::1] DEB:03/20/2014 - 11:57:06 | Return: true
[::1] DEB:03/20/2014 - 11:57:06 | Data2 written to cache: 532b0fd2bbbd0
[::1] DEB:03/20/2014 - 11:57:06 | Return: true
[::1] DEB:03/20/2014 - 11:57:06 | Data3 written to cache: 532b0fd2bbbda
[::1] DEB:03/20/2014 - 11:57:06 | Return: true
[::1] DEB:03/20/2014 - 11:57:06 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 11:57:16 | FileCache::readDataFromCache(Data1)
[::1] DEB:03/20/2014 - 11:57:16 | bExists: true
[::1] DEB:03/20/2014 - 11:57:16 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 11:57:16 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data1
[::1] DEB:03/20/2014 - 11:57:16 | Mod Time: 1395331026 (2014-03-20 11:57:06)
[::1] DEB:03/20/2014 - 11:57:16 | Current Time: 1395331036 (2014-03-20 11:57:16)
[::1] DEB:03/20/2014 - 11:57:16 | Expiration Time: 1395331021 (2014-03-20 11:57:01)
[::1] DEB:03/20/2014 - 11:57:16 | bIsValid: true
[::1] DEB:03/20/2014 - 11:57:16 | Retreive Data 1: '532b0fd2bbbc0'
[::1] DEB:03/20/2014 - 11:57:16 | FileCache::readDataFromCache(Data2)
[::1] DEB:03/20/2014 - 11:57:16 | bExists: true
[::1] DEB:03/20/2014 - 11:57:16 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 11:57:16 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data2
[::1] DEB:03/20/2014 - 11:57:16 | Mod Time: 1395331026 (2014-03-20 11:57:06)
[::1] DEB:03/20/2014 - 11:57:16 | Current Time: 1395331036 (2014-03-20 11:57:16)
[::1] DEB:03/20/2014 - 11:57:16 | Expiration Time: 1395331021 (2014-03-20 11:57:01)
[::1] DEB:03/20/2014 - 11:57:16 | bIsValid: true
[::1] DEB:03/20/2014 - 11:57:16 | Retreive Data 2: '532b0fd2bbbd0'
[::1] DEB:03/20/2014 - 11:57:16 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 11:57:26 | FileCache::readDataFromCache(Data3)
[::1] DEB:03/20/2014 - 11:57:26 | bExists: true
[::1] DEB:03/20/2014 - 11:57:26 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 11:57:26 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data3
[::1] DEB:03/20/2014 - 11:57:26 | Mod Time: 1395331026 (2014-03-20 11:57:06)
[::1] DEB:03/20/2014 - 11:57:26 | Current Time: 1395331046 (2014-03-20 11:57:26)
[::1] DEB:03/20/2014 - 11:57:26 | Expiration Time: 1395331031 (2014-03-20 11:57:11)
[::1] DEB:03/20/2014 - 11:57:26 | The item has expired
[::1] DEB:03/20/2014 - 11:57:26 | deleting cache file: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data3
[::1] DEB:03/20/2014 - 11:57:26 | bIsValid: false
[::1] DEB:03/20/2014 - 11:57:26 | Retreive Data 3: false
[::1] DEB:03/20/2014 - 11:57:26 | Now we want to test to make sure we can kepp a cache entry updated.
[::1] DEB:03/20/2014 - 11:57:26 | Set the expiration to (seconds): 10
[::1] DEB:03/20/2014 - 11:57:26 | Write the cache entry every 5 seconds to keep it updated.  then after 30 seconds see if its still available.
[::1] DEB:03/20/2014 - 11:57:26 | Data3 written to cache: 532b0fd2bbbda
[::1] DEB:03/20/2014 - 11:57:26 | Return: true
[::1] DEB:03/20/2014 - 11:57:26 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:57:31 | Data3 written to cache: 532b0fd2bbbda
[::1] DEB:03/20/2014 - 11:57:31 | Return: true
[::1] DEB:03/20/2014 - 11:57:31 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:57:36 | Data3 written to cache: 532b0fd2bbbda
[::1] DEB:03/20/2014 - 11:57:36 | Return: true
[::1] DEB:03/20/2014 - 11:57:36 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:57:41 | Data3 written to cache: 532b0fd2bbbda
[::1] DEB:03/20/2014 - 11:57:41 | Return: true
[::1] DEB:03/20/2014 - 11:57:41 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:57:46 | Data3 written to cache: 532b0fd2bbbda
[::1] DEB:03/20/2014 - 11:57:46 | Return: true
[::1] DEB:03/20/2014 - 11:57:46 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:57:51 | Data3 written to cache: 532b0fd2bbbda
[::1] DEB:03/20/2014 - 11:57:51 | Return: true
[::1] DEB:03/20/2014 - 11:57:51 | Sleep for 5 seconds
[::1] DEB:03/20/2014 - 11:57:56 | FileCache::readDataFromCache(Data3)
[::1] DEB:03/20/2014 - 11:57:56 | bExists: true
[::1] DEB:03/20/2014 - 11:57:56 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 11:57:56 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data3
[::1] DEB:03/20/2014 - 11:57:56 | Mod Time: 1395331071 (2014-03-20 11:57:51)
[::1] DEB:03/20/2014 - 11:57:56 | Current Time: 1395331076 (2014-03-20 11:57:56)
[::1] DEB:03/20/2014 - 11:57:56 | Expiration Time: 1395331066 (2014-03-20 11:57:46)
[::1] DEB:03/20/2014 - 11:57:56 | bIsValid: true
[::1] DEB:03/20/2014 - 11:57:56 | Retreive Data 3: 532b0fd2bbbda
[::1] DEB:03/20/2014 - 11:57:56 | Now lets wait 20 seconds and try and access it again.
[::1] DEB:03/20/2014 - 11:58:16 | FileCache::readDataFromCache(Data3)
[::1] DEB:03/20/2014 - 11:58:16 | bExists: true
[::1] DEB:03/20/2014 - 11:58:16 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 11:58:16 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data3
[::1] DEB:03/20/2014 - 11:58:16 | Mod Time: 1395331071 (2014-03-20 11:57:51)
[::1] DEB:03/20/2014 - 11:58:16 | Current Time: 1395331096 (2014-03-20 11:58:16)
